t_values,ir_values,red_values
0.118056,41807.0,60046.0
0.131028,41804.0,60053.0
0.1435,41803.0,60072.0
0.155956,41812.0,60083.0
0.168416,41821.0,60072.0
0.180884,41796.0,60086.0
0.193352,41826.0,60084.0
0.205812,41817.0,60119.0
0.21828,41819.0,60116.0
0.230736,41818.0,60118.0
0.2432,41823.0,60117.0
0.255664,41832.0,60131.0
0.268124,41835.0,60120.0
0.280596,41823.0,60133.0
0.293056,41840.0,60129.0
0.305528,41818.0,60159.0
0.318004,41835.0,60168.0
0.33046,41830.0,60175.0
0.342928,41823.0,60173.0
0.3554,41839.0,60180.0
0.367856,41831.0,60166.0
0.380336,41835.0,60184.0
0.392792,41837.0,60181.0
0.405264,41839.0,60169.0
0.417728,41822.0,60176.0
0.430196,41825.0,60150.0
0.442664,41822.0,60147.0
0.455136,41812.0,60117.0
0.467592,41803.0,60109.0
0.48006,41784.0,60093.0
0.492524,41798.0,60070.0
0.504988,41787.0,60054.0
0.517456,41814.0,60048.0
0.529912,41796.0,60027.0
0.54238,41800.0,60028.0
0.554848,41788.0,60022.0
0.567308,41783.0,60040.0
0.579772,41781.0,60020.0
0.59224,41768.0,60005.0
0.6047,41784.0,59990.0
0.617168,41760.0,60012.0
0.629628,41779.0,59993.0
0.642104,41772.0,59988.0
0.654564,41762.0,60008.0
0.667024,41755.0,60000.0
0.679492,41781.0,59997.0
0.691952,41787.0,59994.0
0.704424,41779.0,60016.0
0.716892,41773.0,60016.0
0.72934,41794.0,60006.0
0.741808,41780.0,60021.0
0.754272,41771.0,60025.0
0.766728,41777.0,60018.0
0.7792,41787.0,60024.0
0.791668,41771.0,60037.0
0.804132,41778.0,60020.0
0.816608,41765.0,60028.0
0.829064,41773.0,60022.0
0.841532,41792.0,60023.0
0.853996,41763.0,60013.0
0.866452,41792.0,60042.0
0.87892,41777.0,60022.0
0.89138,41786.0,60032.0
0.903848,41759.0,60024.0
0.916316,41782.0,60043.0
0.92878,41773.0,60040.0
0.941244,41778.0,60050.0
0.953716,41774.0,60051.0
0.966176,41785.0,60067.0
0.978644,41779.0,60070.0
0.991108,41783.0,60059.0
1.003584,41802.0,60074.0
1.016096,41796.0,60092.0
1.028596,41787.0,60100.0
1.041112,41785.0,60111.0
1.053624,41794.0,60111.0
1.066128,41805.0,60108.0
1.078648,41786.0,60120.0
1.091156,41788.0,60121.0
1.103672,41790.0,60136.0
1.116196,41796.0,60114.0
1.128688,41818.0,60135.0
1.141208,41789.0,60134.0
1.15372,41795.0,60141.0
1.166224,41814.0,60143.0
1.178748,41805.0,60178.0
1.191256,41794.0,60158.0
